Taxon,FAD,LAD
Rastodon_procurvidens,265.1,259.1
RC_20,259.1,254.14
Rechnisaurus_cristarhynchus,247.2,237
Regisaurus_jacobi,251.902,251.2
Repelinosaurus_robustus,252.3,247.2
Rhachiocephalus_behemoth,259,254
Rhachiocephalus_magnus,259.1,251.902
Rhadiodromus_spp,247.2,242
Rhadiodromus_klimovi,251.2,242
Rhinodicynodon_gracile,247.2,237
Riebeeckosaurus_longirostris,265.1,259.1
Riograndia_guabiensis,225,225
Robertia_broomiana,265.1,259.1
Ruberodon_roychowdhurii,237,227
Rubidgea_atrox,259.1,251.902
Ruhuhucerberus_haughtoni,254.14,251.902
Ruthenosaurus_russellorum,290.1,272.95
Ruthiromia_elcobriensis,303.7,295
Sangusaurus_edentatus,247.2,237
Sangusaurus_parringtonii,237,237
Santacruzodon_hopsoni,237,227
Sauroctonus_progressus,259.1,254.14
Sauroscaptor_tharavati,259.1,254.14
Scalenodon_angustifrons,237,237
Scalenodon_attridgei,247.2,242
Scalenodon_ribeiroae,242,227
Scalenodontoides_macrodontes,227,208.5
Scaloposaurus_constrictus,259.1,251.2
Scylacosaurus_sclateri,265.1,259.1
Scylacosuchus_orenburgensis,259.1,254.14
Scylacocephalus_watermeyri,254,254
Secodontosaurus_obtusidens,290.1,272.95
Shaanbeikannemeyeria_spp,251.2,242
Shaanbeikannemeyeria_buerdongia,247.2,237
Shaanbeikannemeyeria_xilougouensis,247.2,237
Shansiodon_spp,247.2,242
Shansiodon_wangi,247.2,242
Shansiodon_wuhsiangensis,247.2,242
Shartegodon_altai,163.5,145
Shiguaignathus_wangi,254.14,251.902
Silphedosuchus_orenburgensis,251.902,247.2
Sinoconodon_rigneyi,199.3,190.8
Sinognathus_gracilis,247.2,242
Sinokannemeyeria_spp,247.2,242
Sinokannemeyeria_pearsoni,247.2,237
Sinokannemeyeria_sanchuanheensis,247.2,237
Sinokannemeyeria_yingchiaoensis,247.2,237
Sinophoneus_yumenensis,268.8,265.1
Sintocephalus_alticeps,259.1,254.14
Siriusgnathus_niemeyerorum,237,208.5
Smilesaurus_ferox,259.1,251.902
Sphenacodon_britannicus,298.9,290.1
Sphenacodon_ferocior,303.7,283.5
Sphenacodon_ferox,303.7,290.1
Stahleckeria_potens,242,237
Stereognathus_ooliticus,168.3,166.1
Stereophallodon_ciscoensis,298.9,290.1
Stereorhachis_dominans,303.7,298.9
Struthiocephaloides_cavifrons,265.1,259.1
Struthiocephalus_whaitsi,265.1,259.1
Struthionops_intermedius,265.1,259.1
Styracocephalus_platyrhynchus,265.1,259.1
Suchogorgon_golubevi,259.1,254.14
Suminia_getmanovi,265.1,254.14
Sungeodon_kimkraemerae,252.3,251.3
Sycosaurus_laticeps,259.1,251.902
Sycosaurus_nowaki,254.14,251.902
Syodon_biarmicum,268.8,259.1
Syops_vanhoepeni,259.1,254.14
Tambacarnifex_unguifalcatus,299,280
Tapinocaninus_pamelae,268.8,265.1
Tapinocephalus_atherstonei,265.1,259.1
Taurocephalus_lerouxi,265.1,259.1
Tetraceratops_insignis,283.5,272.95
Tetracynodon_darti,251.902,251.2
